payment_intent_id,event_id,ticket_type,gross_amount,fee_amount,tax_amount,discount_amount,net_amount,currency,status,is_refund,refers_payment_intent_id,created_ts
pi_240073695,1000,VIP,57.98,2.33,2.9,0.0,55.65,CAD,captured,0,,2025-05-22T19:50:00
pi_290619997,1000,VIP,56.91,2.29,2.85,0.0,54.62,CAD,captured,0,,2025-05-08T18:35:00
pi_747670984,1000,General,29.24,1.32,1.46,0.0,27.92,CAD,captured,0,,2025-05-14T09:02:00
pi_612260922,1000,VIP,59.65,2.39,2.98,8.95,48.31,CAD,captured,0,,2025-05-16T15:21:00
pi_356602103,1000,Senior,17.78,0.92,0.89,0.0,16.86,CAD,captured,0,,2025-05-16T15:44:00
pi_250032729,1000,General,25.08,1.18,1.25,0.0,23.9,CAD,captured,0,,2025-05-22T05:49:00
pi_184036783,1000,VIP,0.0,0.0,0.0,0.0,-59.26,CAD,refunded,1,pi_762298646,2025-05-20T05:31:00
pi_212871270,1000,Senior,0.0,0.0,0.0,0.0,-16.57,CAD,refunded,1,pi_904815960,2025-05-07T19:49:00
pi_106188885,1000,Senior,21.94,1.07,1.1,0.0,20.87,CAD,captured,0,,2025-05-14T18:39:00
pi_433040502,1000,VIP,58.43,2.34,2.92,0.0,56.09,CAD,captured,0,,2025-05-22T16:15:00
pi_554259047,1000,General,25.38,1.19,1.27,0.0,24.19,CAD,captured,0,,2025-05-24T09:10:00
pi_268856173,1000,Student,16.22,0.87,0.81,0.0,15.35,CAD,captured,0,,2025-05-19T15:38:00
pi_637167616,1000,VIP,58.28,2.34,2.91,0.0,55.94,CAD,captured,0,,2025-05-07T22:10:00
pi_690167962,1000,General,26.12,1.21,1.31,0.0,24.91,CAD,captured,0,,2025-05-20T01:40:00
pi_965442780,1000,VIP,62.64,2.49,3.13,0.0,60.15,CAD,captured,0,,2025-05-16T21:38:00
pi_754875793,1000,Senior,21.25,1.04,1.06,0.0,20.21,CAD,captured,0,,2025-05-20T16:25:00
pi_206314646,1000,General,20.06,1.0,1.0,0.0,19.06,CAD,captured,0,,2025-05-21T06:30:00
pi_655878118,1000,General,24.66,1.16,1.23,0.0,23.5,CAD,captured,0,,2025-05-19T14:53:00
pi_683716817,1000,General,26.73,1.24,1.34,0.0,25.49,CAD,captured,0,,2025-05-14T08:38:00
pi_620143323,1000,Senior,20.74,1.03,1.04,0.0,19.71,CAD,captured,0,,2025-05-18T03:30:00
pi_266623357,1000,General,26.9,1.24,1.35,0.0,25.66,CAD,captured,0,,2025-05-22T07:47:00
pi_511358929,1000,General,27.48,1.26,1.37,0.0,26.22,CAD,captured,0,,2025-05-11T10:19:00
pi_503742726,1000,VIP,66.25,2.62,3.31,0.0,63.63,CAD,captured,0,,2025-05-16T05:44:00
pi_114459259,1000,Student,12.55,0.74,0.63,0.0,11.81,CAD,captured,0,,2025-05-16T04:28:00
pi_230043064,1000,VIP,60.66,2.42,3.03,0.0,58.24,CAD,captured,0,,2025-05-13T07:40:00
pi_413129241,1000,Senior,20.56,1.02,1.03,3.08,16.46,CAD,captured,0,,2025-05-11T18:26:00
pi_565123251,1000,VIP,59.6,2.39,2.98,0.0,57.21,CAD,captured,0,,2025-05-12T21:38:00
pi_268642727,1000,Senior,22.08,1.07,1.1,0.0,21.01,CAD,captured,0,,2025-05-08T16:03:00
